Post ID,Network,Published time (America/Toronto),Post Type,Placement,Boosted,Post text,Post URL,Impressions,Engagements,Reach,Video views,Engagement rate,label 1,label 2,label 3,label 4,label 5,label 6,label 7,label 8,label 9,label 10,label 11,label 12,label 13,label 14,label 15,label 16,label 17,label 18,label 19,label 20,label 21,label 22,label 23,label 24,label 25,label 26,label 27,label 28,label 29,label 30,label 31,label 32,label 33,label 34,label 35,label 36,label 37,label 38,label 39,label 40,label 41,label 42,label 43
18112036915597666,INSTAGRAM,Nov 12,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3764423796997571400,3921,-,3873,-,,,Always On,,Cossette,,Gifts & Seasonal,,,,,Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17943812190073897,INSTAGRAM,Nov 12,REELS,REELS,No,"ok, I’ll admit it, I love them all! 🤩🎄🎁 #holidaygift #holidaygifting #holidaygiftideas",https://www.instagram.com/reel/DQ-QsOFkcZ-/,11606,152,8605,-,1.77%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17928396339143498,INSTAGRAM,Nov 12,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3764520730080904783,3239,-,3164,-,,,Always On,,Cossette,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7571966885567253768,TIKTOK,Nov 12,VIDEO,Timeline,Yes,"ok, I’ll admit it, I love them all! 🤩🎄🎁 #holidaygift #holidaygifting #holidaygiftideas ",https://www.tiktok.com/@walmartcanada/video/7571966885567253768?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,734,42,584,734,7.19%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17990157950728238,INSTAGRAM,Nov 13,REELS,REELS,No,Does someone owe you a mug? ☕️,https://www.instagram.com/reel/DRADKnJkV0L/,13930,175,10273,-,1.70%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572224448229592327,TIKTOK,Nov 13,VIDEO,Timeline,Yes,Someone is definitely getting a new mug today 👀☕️,https://www.tiktok.com/@walmartcanada/video/7572224448229592327?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,954,60,770,954,7.79%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17953540908043827,INSTAGRAM,Nov 13,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3765028313543813076,4033,-,4033,-,,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18335621527231516,INSTAGRAM,Nov 13,IMAGE,Timeline,No,Quick before they catch me! I might have some surprises up my sleeve… 👀🎁 #WorldKindnessDay,https://www.instagram.com/p/DRAfp2tkaGQ/,43491,792,11152,-,7.10%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18076727657169890,INSTAGRAM,Nov 13,IMAGE_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3765153124873995193,3537,-,3537,-,,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17846222097587775,INSTAGRAM,Nov 14,REELS,REELS,No,What’s the vibe on your tree?,https://www.instagram.com/reel/DRCzhBDEWku/,6173,101,5214,-,1.94%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572621604602137874,TIKTOK,Nov 14,VIDEO,Timeline,Yes,What’s the vibe on your tree? ,https://www.tiktok.com/@walmartcanada/video/7572621604602137874?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,631,34,527,631,6.45%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17866470531483395,INSTAGRAM,Nov 14,IMAGE,Timeline,No,"If a certain iconic 2000s star ever needs a ‘small room’ for her ‘big nerves’… Our auditorium is warmed up, decorated, and ready ✨  Tag her so she knows where to find us 👀",https://www.instagram.com/p/DRDswjeDdtI/,48491,218,12643,-,1.72%,,Always On,Walmart,,,,,,,,,,,Movies & Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18070592867340875,INSTAGRAM,Nov 15,REELS,REELS,No,One of each please 👀✨👌,https://www.instagram.com/reel/DRFOfFbEYM3/,15050,320,10713,-,2.99%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7572978445588712712,TIKTOK,Nov 15,VIDEO,Timeline,Yes,One of everything please :) ,https://www.tiktok.com/@walmartcanada/video/7572978445588712712?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,788,47,658,788,7.14%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7573033322465529095,TIKTOK,Nov 15,VIDEO,Timeline,Yes,Kindest man I know. I have extras if anyone wants some 😋👀 #snackhauls ,https://www.tiktok.com/@walmartcanada/video/7573033322465529095?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,951,48,744,951,6.45%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17974075748957251,INSTAGRAM,Nov 15,REELS,REELS,No,Kindest man I know. I have extras if anyone wants some 😋👀 #snackhaul,https://www.instagram.com/reel/DRFqroPkWsM/,11839,105,9417,-,1.12%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18067625708099873,INSTAGRAM,Nov 15,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3766606461267994358,4229,-,4150,-,,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17952700080042326,INSTAGRAM,Nov 16,REELS,REELS,No,We’re getting in the spirit of gift giving 🙂‍↕️ #giftideas #giftbasket 🎁,https://www.instagram.com/reel/DRIdTAuEbST/,23455,175,16357,-,1.07%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7573436597862026503,TIKTOK,Nov 16,VIDEO,Timeline,Yes,We’re getting in the spirit of gift giving 🙂‍↕️ #giftideas #giftbasket 🎁,https://www.tiktok.com/@walmartcanada/video/7573436597862026503?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,928,46,736,928,6.25%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18156018808405154,INSTAGRAM,Nov 16,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3767393605712456966,7566,-,7342,-,,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17972412431798375,INSTAGRAM,Nov 17,REELS,REELS,No,Me 🤝 holiday apparel and decor 😎 #holidayshopping #holidaydecor 🎄,https://www.instagram.com/reel/DRKfilrje45/,13973,245,10718,-,2.29%,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7573729564610809096,TIKTOK,Nov 17,VIDEO,Timeline,Yes,Me 🤝 holiday apparel and decor 😎 #holidayshopping #holidaydecor 🎄,https://www.tiktok.com/@walmartcanada/video/7573729564610809096?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,907,68,717,907,9.48%,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18135457267475720,INSTAGRAM,Nov 17,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3767965362865127959,4918,-,4918,-,,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7574178696530103570,TIKTOK,Nov 18,VIDEO,Timeline,Yes,"At the end of the day, I’m just a girl 💁‍♀️ #1girl10obsessions #imjustagirl ",https://www.tiktok.com/@walmartcanada/video/7574178696530103570?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,963,61,792,963,7.70%,,Always On,,Cossette,,,,,,,Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17844362568602176,INSTAGRAM,Nov 18,REELS,REELS,No,"At the end of the day, I’m just a girl 💁‍♀️ #1girl10obsessions #imjustagirl",https://www.instagram.com/reel/DRNnaLikfyH/,11243,130,9301,-,1.40%,,Always On,,Cossette,,,,,,,Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7574546994555817224,TIKTOK,Nov 19,VIDEO,Timeline,Yes,These cupcakes changed us for good 🩷💚🧁 #wicked #wickedforgood #baking ,https://www.tiktok.com/@walmartcanada/video/7574546994555817224?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,711,34,569,711,5.98%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18082643411120588,INSTAGRAM,Nov 19,REELS,REELS,No,These cupcakes changed us for good 🩷💚🧁 #wicked #wickedforgood #baking,https://www.instagram.com/reel/DRQK4gwETuq/,9303,93,7533,-,1.23%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18085959310810820,INSTAGRAM,Nov 19,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3769561575104537423,3301,-,3301,-,,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18054086696638331,INSTAGRAM,Nov 20,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3770276537682751102,3012,-,2959,-,,,Always On,,,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18084747296001794,INSTAGRAM,Nov 21,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3770761833192974298,2829,-,2803,-,,,Always On,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18104109265657338,INSTAGRAM,Nov 21,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3770821091435571849,2315,-,2315,-,,,Always On,,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7575257550753369351,TIKTOK,Nov 21,VIDEO,Timeline,Yes,"After all, breakfast is the most thrillifying meal of the day 🥣💖💚 #Wicked #wickedforgood ",https://www.tiktok.com/@walmartcanada/video/7575257550753369351?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,1039,45,857,1039,5.25%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17984937446872737,INSTAGRAM,Nov 21,REELS,REELS,No,"After all, breakfast is the most thrillifying meal of the day 🥣💖💚 #Wicked #WickedForGood",https://www.instagram.com/reel/DRVGbXfkZj_/,6939,69,5781,-,1.19%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17928712800149081,INSTAGRAM,Nov 21,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3770949412802609406,2284,-,2255,-,,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18298989337286786,INSTAGRAM,Nov 21,IMAGE_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3770950051343476050,2030,-,2014,-,,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18546835573056815,INSTAGRAM,Nov 22,REELS,REELS,No,Which one are you picking?,https://www.instagram.com/reel/DRXOhefEZME/,17949,352,12743,-,2.76%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7575573199769914632,TIKTOK,Nov 22,VIDEO,Timeline,Yes,Which one are you picking?,https://www.tiktok.com/@walmartcanada/video/7575573199769914632?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,705,40,597,705,6.70%,,Always On,Walmart,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17938275642098408,INSTAGRAM,Nov 22,REELS,REELS,No,Be the mama that says yes 😌💙,https://www.instagram.com/reel/DRXqSxVkS91/,133610,6918,93081,-,7.43%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7575627126385249543,TIKTOK,Nov 22,VIDEO,Timeline,Yes,Be the mama that says yes 😌💙,https://www.tiktok.com/@walmartcanada/video/7575627126385249543?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,7054,147,6226,7054,2.36%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17851850496548094,INSTAGRAM,Nov 22,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3771672638797227417,5474,-,5427,-,,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576031644075691272,TIKTOK,Nov 23,VIDEO,Timeline,Yes,This is how I keep my mani fresh 💅 #manicure #beautytok ,https://www.tiktok.com/@walmartcanada/video/7576031644075691272?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,740,38,574,740,6.62%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17873704812377516,INSTAGRAM,Nov 23,REELS,REELS,No,This is how I keep my mani fresh 💅 #manicure #giftwrapping,https://www.instagram.com/reel/DRaeM3akZec/,20267,126,14884,-,0.85%,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18545902180053430,INSTAGRAM,Nov 23,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3772461134730352986,3090,-,3032,-,,,Always On,,Cossette,,Gifts & Seasonal,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18192559603330263,INSTAGRAM,Nov 24,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3773095873266927445,2939,-,2939,-,,,Always On,,,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18100580704774902,INSTAGRAM,Nov 24,IMAGE_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3773062625975466072,3056,-,2988,-,,,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18172516630370636,INSTAGRAM,Nov 24,REELS,REELS,No,"One thing lead to another, and now I’m in the Christmas aisle 😐 #holidayshopping #holidaygifts #holidaydecor",https://www.instagram.com/reel/DRdCpcVEWUI/,20183,216,13695,-,1.58%,,Always On,,Cossette,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576402299900267783,TIKTOK,Nov 24,VIDEO,Timeline,Yes,"One thing lead to another, and now I’m in the Christmas aisle 😐 #holidayshopping #holidaygifts #holidaydecor ",https://www.tiktok.com/@walmartcanada/video/7576402299900267783?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,734,52,571,734,9.11%,,Always On,,Cossette,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17979740870945780,INSTAGRAM,Nov 24,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3773185144464179907,3203,-,3140,-,,,Always On,,Cossette,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17864264283528521,INSTAGRAM,Nov 25,REELS,REELS,No,"if you’re eating anything other than eggos while watching season 5, what are you doing? #strangerthings5 #strangerthings",https://www.instagram.com/reel/DRfNXntERfm/,18308,155,13396,-,1.16%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576715275584720146,TIKTOK,Nov 25,VIDEO,Timeline,Yes,"if you’re eating anything other than eggos while watching season 5, what are you doing? #strangerthings5 #strangerthings ",https://www.tiktok.com/@walmartcanada/video/7576715275584720146?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,1226,56,1001,1226,5.59%,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18318673138222911,INSTAGRAM,Nov 25,VIDEO_STORY,STORY,No,-,https://instagram.com/stories/walmartcanada/3773796536783318893,3916,-,3916,-,,Grocery,Always On,,Cossette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7576775784388496647,TIKTOK,Nov 25,VIDEO,Timeline,Yes,Stay cozy #cozyvibes #walmartfinds 🥰🧤,https://www.tiktok.com/@walmartcanada/video/7576775784388496647?utm_campaign=tt4d_open_api&utm_source=7055758955263295490,785,29,625,785,4.64%,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17970386828972520,INSTAGRAM,Nov 25,REELS,REELS,No,Stay cozy #cozyvibes #walmartfinds 🥰🧤,https://www.instagram.com/reel/DRfoz3tkQ7n/,5915,70,4744,-,1.48%,,Always On,,Cossette,,,,,,,,,Apparel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17980827668930664,INSTAGRAM,Nov 26,CAROUSEL,Timeline,No,Did we do this right? - Matt & Alex,https://www.instagram.com/p/DRhZ22CDR6q/,33865,596,9579,-,6.22%,,Always On,Walmart,,Behind The Spark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
